train_accuracy,test_accuracy
0.792,0.6055776892430279
0.984,0.8366533864541833
0.9933333333333333,0.8406374501992032
1.0,0.8764940239043825
1.0,0.8764940239043825
1.0,0.8685258964143426
1.0,0.8685258964143426
1.0,0.8685258964143426
1.0,0.8764940239043825
1.0,0.8685258964143426
1.0,0.8764940239043825
1.0,0.8764940239043825
1.0,0.8764940239043825
1.0,0.8764940239043825
1.0,0.8764940239043825
1.0,0.8844621513944223
1.0,0.8844621513944223
1.0,0.8725099601593626
1.0,0.8804780876494024
1.0,0.8804780876494024
